// NgramTextClassifier created this file from 3538118 characters.
Classification	Spam
Total	3538118
9837	8	18.7546
9838	1579	11.1298
9839	9	18.5846
9840	1	21.7546
9841	65	15.7322
9842	12	18.1696
9843	75	15.5257
9844	16	17.7546
9845	3	20.1696
9904	2	20.7546
9906	3	20.1696
9911	4	19.7546
9912	4	19.7546
9914	2	20.7546
9916	4	19.7546
9917	2	20.7546
9919	4	19.7546
9920	12	18.1696
9922	2	20.7546
9923	1	21.7546
9927	2	20.7546
9961	2	20.7546
9994	2	20.7546
10016	258	13.7433
10017	4	19.7546
10023	40	16.4326
10025	8	18.7546
10026	3	20.1696
10028	7	18.9472
10030	21	17.3622
10031	3	20.1696
10032	4	19.7546
10033	2	20.7546
10034	2	20.7546
10035	49	16.1398
10036	5	19.4326
10037	4	19.7546
10040	3	20.1696
10041	12	18.1696
10043	9	18.5846
10044	3	20.1696
10046	186	14.2154
10049	10	18.4326
10050	7	18.9472
10051	7	18.9472
10052	3	20.1696
10053	7	18.9472
10054	5	19.4326
10055	3	20.1696
10056	4	19.7546
10057	23	17.231
10061	10	18.4326
10062	2	20.7546
10063	2	20.7546
10064	1	21.7546
10066	4	19.7546
10067	57	15.9217
10068	19	17.5066
10069	2	20.7546
10070	2	20.7546
10071	4	19.7546
10073	4	19.7546
10074	2	20.7546
10081	9	18.5846
10082	1	21.7546
10083	4	19.7546
10084	16	17.7546
10085	10	18.4326
10086	41	16.397
10088	42	16.3622
10089	12	18.1696
10090	4	19.7546
10091	4	19.7546
10092	118	14.8719
10093	65	15.7322
10094	1	21.7546
10095	5	19.4326
10098	91	15.2468
10099	579	12.5771
10100	372	13.2154
10101	2	20.7546
10102	83	15.3795
10103	2	20.7546
10149	1	21.7546
10170	1	21.7546
10217	2	20.7546
10267	6	19.1696
10272	12	18.1696
10273	2	20.7546
10274	9	18.5846
10275	6	19.1696
10276	8	18.7546
10277	1	21.7546
10279	6	19.1696
10280	1	21.7546
10281	11	18.2951
10283	2	20.7546
10286	1	21.7546
10287	4	19.7546
10288	10	18.4326
10289	99	15.1252
10290	92	15.231
10291	18	17.5846
10292	9	18.5846
10293	73	15.5647
10294	25	17.1107
10295	19	17.5066
10296	748	12.2077
10297	19	17.5066
10300	22	17.2951
10305	34	16.6671
10306	105	15.0403
10307	116	14.8966
10308	44	16.2951
10309	328	13.397
10310	18	17.5846
10311	7	18.9472
10312	62	15.8004
10313	781	12.1454
10314	18	17.5846
10315	11	18.2951
10316	35	16.6253
10317	81	15.4147
10318	106	15.0266
10319	7	18.9472
10320	669	12.3687
10321	3	20.1696
10322	27	16.9997
10323	54	15.9997
10324	38	16.5066
10325	99	15.1252
10326	2	20.7546
10327	13	18.0541
10329	6	19.1696
10330	2	20.7546
10331	370	13.2232
10334	8	18.7546
