// NgramTextClassifier created this file from 2044556 characters.
Classification	Ham
Total	2044556
12662	1	20.9634
12663	8	17.9634
12664	4	18.9634
12665	4	18.9634
12666	1	20.9634
12669	1	20.9634
12809	1	20.9634
12810	702	11.508
12832	5799	8.46177
12834	28	16.156
12836	2	19.9634
12837	3	19.3784
12838	11	17.5039
12839	3	19.3784
12841	102	14.2909
12842	1	20.9634
12843	3	19.3784
12844	183	13.4477
12845	357	12.4836
12846	1872	10.093
12847	88	14.5039
12848	7264	8.13681
12849	1611	10.3096
12850	1708	10.2253
12851	1128	10.8238
12852	927	11.1069
12853	948	11.0746
12854	949	11.0731
12855	2169	9.88054
12856	1291	10.6291
12857	1234	10.6942
12858	1132	10.8187
12859	53	15.2354
12860	2	19.9634
12861	4	18.9634
12862	18	16.7934
12864	43	15.5371
12865	42	15.571
12866	49	15.3486
12867	53	15.2354
12868	51	15.2909
12869	36	15.7934
12870	50	15.3195
12871	4	18.9634
12872	5	18.6414
12873	2	19.9634
12874	14	17.156
12875	11	17.5039
12877	3	19.3784
12878	9	17.7934
12879	8	17.9634
12880	9	17.7934
12881	2	19.9634
12882	2	19.9634
12883	16	16.9634
12884	3	19.3784
12885	1	20.9634
12886	6	18.3784
12887	7	18.156
12889	7	18.156
12890	8	17.9634
12892	3	19.3784
12893	133	13.9081
12894	2	19.9634
12895	97	14.3634
12897	12	17.3784
12898	14	17.156
12899	22	16.5039
12900	13	17.2629
12901	14	17.156
12902	32	15.9634
12903	2	19.9634
12904	5	18.6414
12905	5	18.6414
12906	5	18.6414
12907	4	18.9634
12908	5	18.6414
12909	6	18.3784
12910	10	17.6414
12912	3	19.3784
12913	1	20.9634
12914	2	19.9634
12915	7	18.156
12916	2	19.9634
12917	102	14.2909
12918	7	18.156
12919	12	17.3784
12920	1	20.9634
12921	1	20.9634
12922	5	18.6414
12925	6	18.3784
13066	159	13.6505
13088	1135	10.8149
13090	19	16.7154
13092	1	20.9634
13093	5	18.6414
13094	1	20.9634
13095	1	20.9634
13097	248	13.0092
13099	4	18.9634
13100	39	15.678
13101	170	13.554
13102	1004	10.9918
13103	222	13.1689
13104	821	11.2821
13105	558	11.8392
13106	462	12.1116
13107	576	11.7934
13108	619	11.6896
13109	379	12.3973
13110	643	11.6347
13111	317	12.655
13112	415	12.2664
13113	506	11.9804
13114	983	11.0223
13115	48	15.3784
13118	3	19.3784
13119	9	17.7934
13120	35	15.8341
13121	57	15.1305
13122	32	15.9634
13123	44	15.5039
13124	216	13.2085
13125	84	14.571
13126	184	13.4398
13127	8	17.9634
13128	18	16.7934
13129	3	19.3784
13130	4	18.9634
13131	7	18.156
13132	3	19.3784
13133	3	19.3784
13134	8	17.9634
13135	4	18.9634
13136	3	19.3784
13137	4	18.9634
13138	9	17.7934
13139	3	19.3784
13141	6	18.3784
13142	5	18.6414
13143	1	20.9634
13144	1	20.9634
13145	1	20.9634
13146	7	18.156
13149	121	14.0445
13151	21	16.571
13153	9	17.7934
13154	5	18.6414
13155	14	17.156
13156	13	17.2629
13157	14	17.156
13158	16	16.9634
13159	5	18.6414
13160	2	19.9634
13161	6	18.3784
13162	1	20.9634
13163	3	19.3784
13164	2	19.9634
13165	7	18.156
13166	3	19.3784
13167	4	18.9634
13169	1	20.9634
13170	5	18.6414
13171	7	18.156
13172	5	18.6414
13174	4	18.9634
13175	1	20.9634
13176	4	18.9634
13177	1	20.9634
13322	61	15.0326
13344	928	11.1054
13346	28	16.156
13348	6	18.3784
13349	8	17.9634
13350	2	19.9634
13351	3	19.3784
13353	70	14.8341
13354	2	19.9634
13356	23	16.4398
13357	95	14.3935
13358	1342	10.5732
13359	21	16.571
13360	1691	10.2397
13361	747	11.4184
